date,bank_name,close_price
3/28/2022,Citi,55.919998
3/28/2022,JPM,140.87
3/28/2022,BAC,43.549999
3/28/2022,WFC,51.810001
3/29/2022,Citi,56.470001
3/29/2022,JPM,141.17999
3/29/2022,BAC,43.439999
3/29/2022,WFC,51.599998
3/30/2022,Citi,54.970001
3/30/2022,JPM,140.53999
3/30/2022,BAC,43
3/30/2022,WFC,50.110001
3/31/2022,Citi,53.400002
3/31/2022,JPM,136.32001
3/31/2022,BAC,41.220001
3/31/2022,WFC,48.459999
4/1/2022,Citi,52.330002
4/1/2022,JPM,135.31
4/1/2022,BAC,40.900002
4/1/2022,WFC,48.709999
4/4/2022,Citi,52.799999
4/4/2022,JPM,135.91
4/4/2022,BAC,40.830002
4/4/2022,WFC,48.459999
4/5/2022,Citi,51.580002
4/5/2022,JPM,133.34
4/5/2022,BAC,40.139999
4/5/2022,WFC,48.119999
4/6/2022,Citi,50.529999
4/6/2022,JPM,131.49001
4/6/2022,BAC,39.700001
4/6/2022,WFC,47.889999
4/7/2022,Citi,50.029999
4/7/2022,JPM,131.09
4/7/2022,BAC,39.389999
4/7/2022,WFC,47.740002
4/8/2022,Citi,50.880001
4/8/2022,JPM,133.49001
4/8/2022,BAC,39.669998
4/8/2022,WFC,48.73
4/11/2022,Citi,50.549999
4/11/2022,JPM,133
4/11/2022,BAC,39.59
4/11/2022,WFC,49.330002
4/12/2022,Citi,50.34
4/12/2022,JPM,131.53999
4/12/2022,BAC,39.169998
4/12/2022,WFC,48.419998
4/13/2022,Citi,50.150002
4/13/2022,JPM,127.3
4/13/2022,BAC,38.82
4/13/2022,WFC,48.540001
4/14/2022,Citi,50.93
4/14/2022,JPM,126.12
4/14/2022,BAC,37.57
4/14/2022,WFC,46.349998
4/18/2022,Citi,52.310001
4/18/2022,JPM,128.46001
4/18/2022,BAC,38.849998
4/18/2022,WFC,47.169998
4/19/2022,Citi,52.919998
4/19/2022,JPM,131.12
4/19/2022,BAC,39.57
4/19/2022,WFC,47.830002
4/20/2022,Citi,53.099998
4/20/2022,JPM,131.58
4/20/2022,BAC,39.66
4/20/2022,WFC,48.650002
4/21/2022,Citi,52.630001
4/21/2022,JPM,130.56
4/21/2022,BAC,38.91
4/21/2022,WFC,47.779999
4/22/2022,Citi,51.23
4/22/2022,JPM,126.81
4/22/2022,BAC,37.560001
4/22/2022,WFC,46.34
4/25/2022,Citi,51.130001
4/25/2022,JPM,126.77
4/25/2022,BAC,37.290001
4/25/2022,WFC,45.830002
4/26/2022,Citi,50.23
4/26/2022,JPM,123.02
4/26/2022,BAC,36.450001
4/26/2022,WFC,44.580002
4/27/2022,Citi,49.599998
4/27/2022,JPM,121.42
4/27/2022,BAC,36.25
4/27/2022,WFC,44.580002
4/28/2022,Citi,50.02
4/28/2022,JPM,123.34
4/28/2022,BAC,36.810001
4/28/2022,WFC,45.169998
4/29/2022,Citi,48.209999
4/29/2022,JPM,119.36
4/29/2022,BAC,35.68
4/29/2022,WFC,43.630001
5/2/2022,Citi,48.709999
5/2/2022,JPM,120.45
5/2/2022,BAC,36.139999
5/2/2022,WFC,43.669998
5/3/2022,Citi,50.099998
5/3/2022,JPM,123.03
5/3/2022,BAC,37.130001
5/3/2022,WFC,44.16
5/4/2022,Citi,52.23
5/4/2022,JPM,127.1
5/4/2022,BAC,38.619999
5/4/2022,WFC,45.98
5/5/2022,Citi,51.310001
5/5/2022,JPM,123.92
5/5/2022,BAC,37.540001
5/5/2022,WFC,44.759998
5/6/2022,Citi,51.619999
5/6/2022,JPM,123.72
5/6/2022,BAC,37.450001
5/6/2022,WFC,44.549999
5/9/2022,Citi,49.889999
5/9/2022,JPM,121.86
5/9/2022,BAC,36.369999
5/9/2022,WFC,43.959999
5/10/2022,Citi,48.75
5/10/2022,JPM,118.89
5/10/2022,BAC,35.759998
5/10/2022,WFC,43.080002
5/11/2022,Citi,47.66
5/11/2022,JPM,118.14
5/11/2022,BAC,35.57
5/11/2022,WFC,42.57
5/12/2022,Citi,46.560001
5/12/2022,JPM,118.04
5/12/2022,BAC,35.07
5/12/2022,WFC,41.810001
5/13/2022,Citi,47.639999
5/13/2022,JPM,119.09
5/13/2022,BAC,35.169998
5/13/2022,WFC,42.639999
5/16/2022,Citi,47.459999
5/16/2022,JPM,118.26
5/16/2022,BAC,34.810001
5/16/2022,WFC,42.209999
5/17/2022,Citi,51.049999
5/17/2022,JPM,122.18
5/17/2022,BAC,35.990002
5/17/2022,WFC,43.709999
5/18/2022,Citi,49.32
5/18/2022,JPM,120.09
5/18/2022,BAC,34.880001
5/18/2022,WFC,42.110001
5/19/2022,Citi,49.779999
5/19/2022,JPM,118.31
5/19/2022,BAC,34.450001
5/19/2022,WFC,42
5/20/2022,Citi,49.75
5/20/2022,JPM,117.34
5/20/2022,BAC,33.860001
5/20/2022,WFC,41.669998
5/23/2022,Citi,52.77
5/23/2022,JPM,124.6
5/23/2022,BAC,35.869999
5/23/2022,WFC,43.82
5/24/2022,Citi,52.68
5/24/2022,JPM,126.36
5/24/2022,BAC,35.650002
5/24/2022,WFC,43.290001
5/25/2022,Citi,52.700001
5/25/2022,JPM,127.24
5/25/2022,BAC,35.84
5/25/2022,WFC,44.119999
5/26/2022,Citi,54.09
5/26/2022,JPM,129.44
5/26/2022,BAC,36.669998
5/26/2022,WFC,45.599998
5/27/2022,Citi,53.619999
5/27/2022,JPM,131.27
5/27/2022,BAC,37.02
5/27/2022,WFC,45.889999
5/31/2022,Citi,53.41
5/31/2022,JPM,132.23
5/31/2022,BAC,37.200001
5/31/2022,WFC,45.77
6/1/2022,Citi,52.389999
6/1/2022,JPM,129.91
6/1/2022,BAC,36.669998
6/1/2022,WFC,45.16
6/2/2022,Citi,52.43
6/2/2022,JPM,132
6/2/2022,BAC,36.700001
6/2/2022,WFC,45.330002
6/3/2022,Citi,51.330002
6/3/2022,JPM,130.16
6/3/2022,BAC,36.189999
6/3/2022,WFC,44.82
6/6/2022,Citi,51.400002
6/6/2022,JPM,129.73
6/6/2022,BAC,36.150002
6/6/2022,WFC,45.119999
6/7/2022,Citi,52.099998
6/7/2022,JPM,130.07001
6/7/2022,BAC,36.349998
6/7/2022,WFC,45.470001
6/8/2022,Citi,51.41
6/8/2022,JPM,128
6/8/2022,BAC,35.889999
6/8/2022,WFC,44.630001
6/9/2022,Citi,49.970001
6/9/2022,JPM,125.31
6/9/2022,BAC,34.509998
6/9/2022,WFC,42.669998
6/10/2022,Citi,47.709999
6/10/2022,JPM,119.55
6/10/2022,BAC,33.169998
6/10/2022,WFC,40.080002
6/13/2022,Citi,45.689999
6/13/2022,JPM,115.99
6/13/2022,BAC,32.02
6/13/2022,WFC,38.990002
6/14/2022,Citi,45.959999
